Longitude,Latitude,Town,Location,StartDate,StartTime,EndDate,EndTime,Crime,CrimeType
80.636703,7.322436,Mawilmada,,2020-10-14,19:30,2020-10-15,7:30,Breaking into a house and stealing property,Burglary
80.622308,7.341378,Kalugalawaththa,,2020-05-15,,,,"Breaking into a house and stealing property worth 473,000 LKR",Burglary
80.585494,7.328943,Nugawela,,2020-10-15,21:00,,,Cutting with a knife,Assault
80.585467,7.345114,Aththaragama,,2020-05-17,19:00,,,Husband cuts wife's face with a blade,Assault
80.612965,7.304321,Gohagoda,,2020-10-02,12:00,,,Beating up with a club,Assault
80.612965,7.304321,Gohagoda,,2020-10-17,11:00,2020-10-17,15:00,Beating up tieing up a 13yr old girl for not helping housework,Assault
80.622308,7.341378,Kalugalawaththa,,2020-10-19,15:15,,,"Keeping heroin, 5g 430mg",Drug
80.585494,7.328943,Nugawela,,2020-10-20,12:40,2020-10-20,14:00,Breaking into a house and stealing property,Burglary
80.61142,7.321026,Pahalakondadeniya,,2020-10-21,3:30,,,Breaking into a house,Burglary
80.61142,7.321026,Kondadeniya,,2020-10-20,22:30,2020-10-21,2:00,Breaking into a house,Burglary
80.714775,7.286264,Balagolla,,2020-01-10,8:00,,,Abducting and raping 15yr old,Rape
80.61142,7.321026,Senarathgama,,2020-10-24,2:20,2020-10-25,5:45,"Breaking into a house and stealing property worth 240,000",Burglary
80.612965,7.304321,Gohagoda,,2020-10-26,15:45,2020-10-27,7:20,"Breaking into a house and stealing property worth 33,900",Burglary
80.638029,7.34366,Egodagama,,2020-10-27,17:00,2020-10-29,9:30,"Breaking into a house and stealing property worth 12,590",Burglary
80.624283,7.323781,Katugastota,,2020-07-29,,,,"Stealing 415,000 by a person who came to fix a PC",Theft
80.600787,7.303278,Pallegama,,2020-10-31,7:00,2020-10-31,17:00,"Stealing 30,000 from the house",Theft
80.646653,7.325929,Polgolla,Doragamuwa Road,2020-11-05,11:32,,,Possession of a counterfeit 1000 Rupee note,Fraud
80.624283,7.323781,Katugastota,,2020-11-06,18:45,2020-11-07,8:10,"Breaking into a house and stealing a Nikon D700 worth 130,000",Burglary
80.615696,7.353901,Ambatenna,,2020-08-10,14:30,2020-09-21,14:00,Abducting and raping a 15yr old girl,Rape
80.624283,7.323781,Katugastota,,2020-11-11,16:45,2020-11-11,17:45,"Pickpocketing 45,900 from a woman in a bus",Theft
80.60994,7.334379,Ranawana,,2020-11-13,0:00,2020-11-13,6:15,"Breaking into a house and stealing property worth 80,000",Burglary
80.578864,7.319055,Yahalathenna,,2020-11-14,17:30,,,Beating up and breaking three teeth,Assault
80.619722,7.314906,Ugurassapitiya,,2020-11-17,23:35,,,"""Keeping 2,040 mg of heroin",Drug
80.636703,7.322436,Mawilmada,,2020-11-11,16:45,2020-11-23,8:00,"Trespassing on land and stealing 380,000 worth of industrial equipment",Theft
80.615696,7.353901,Ambatenna,,2020-11-20,22:40,2020-11-21,13:00,"Stealing a toolbox worth 3,900 from a lorry",Theft
80.640351,7.331616,Jambugahapitiya,Mandandawela,2020-11-27,19:20,,,Biting a police officer’s hand and attempting murder by strangling,AttemptedMurder
80.602024,7.324071,Kulugammana,,2020-11-27,19:30,2020-11-28,5:30,"Breaking into a house and stealing property worth 48,200""",Burglary
80.578864,7.319055,Malgammana,,2020-08-30,,2020-11-28,13:00,"Breaking into a house and stealing property worth 11,900",Burglary
